?002705,0.51264245,0.015654733,0.026542506,0.140874685,0.025013484,0.017005926,0.017353164,0.018010292,0.1650758,0.122887991,0.170272064,0.528356225,0.068357008,0.187190232,0.358856429,0.327089337,0.042246705,0.245922984,0.172307692,0.0814367,0.004051558,0.013290358,0.023483955,0.051794335,0.019740826,0.003295587,0.019968518,0.195906433,0.28457762,1
?002706,0.924659702,0.013671142,0.010505089,0,0.012675297,0.00297346,0.00253159,0.002572899,0.326034063,0.16648809,0.336695421,0.407842268,0.093227323,0.267320414,0.536268915,0.293948127,0.060326645,0.353195097,0.368205128,0.123518255,0.001742367,0.001103072,0.004471969,0.016754918,0.004602156,0.012814379,0.007150888,0.160818713,0.630269172,1
?002707,0.660968661,0.549166727,0.017705562,0,0.005022923,0.001180108,0.001530729,0.002572899,0.401834176,0.124536388,0.414067684,0.350465219,0.149124933,0.194358767,0.671237544,0.422910663,0.043864135,0.120608365,0.306666667,0.069108582,0.000310765,0.001797448,0.002381226,0.068028021,0.003512171,0.003933774,0.005396897,0.157894737,0.240223464,10
?002708,0.199038461,0.01634611,0,0,0.011832524,0.005977841,0.007521176,0.010291595,0.190903987,0.068985412,0.196947578,0.488701817,0.127599748,0.353853353,0.388212248,0.21037464,0.079857669,0.154242867,0.323076923,0.084518729,0.001583146,0.001866384,0.007331579,0.016249346,0.003027734,0.043027942,0.005217,0.058479532,0.099373625,1
?002709,1,0.035724098,0,0,0.009944714,0.005181654,0.006623345,0.009433962,0.224218604,0.478859309,0.231055076,0.484049623,0.106510884,0.237093446,0.704993896,0.358069164,0.053507378,0.035626158,0.354871795,0.233285917,0.001042774,0.001650488,0.008166232,0.014938436,0.003996609,0.033384879,0.008320216,0.078947368,0.116471982,2
?002711,0.83048433,0.154239004,0,0,0.018203883,0.007093533,0.003300634,0.012006861,0.310874041,0.173493777,0.317451891,0.420912716,0.085712901,0.398693923,0.496295034,0.283861671,0.321200716,0.714189575,0.323076923,0.027382646,0.002773553,0.002561385,0.009113953,0.016896411,0.006661015,0.003295587,0.016865302,0.119883041,0.172585069,2
?002712,0.942698929,0.050418088,0.007791714,0.085576114,0.009304207,0.002919351,0.00404392,0.006432247,0.439827812,0.90332152,0.453351029,0.394993354,0.10854705,0.20807896,0.667489992,0.368876081,0.046957727,0.203523643,0.486153846,0.100047416,0.001108096,0.001333069,0.007078716,0.039937989,0.004238828,0.010930582,0.012862604,0.128654971,0.135630608,4
?002713,0.005762028,0.014049753,0.022667765,0.089045416,0.015540723,0.005465086,0.006785249,0.009433962,0.36159461,0.188988708,0.369210352,0.710899424,0.090560915,0.102103763,0.516281975,0.277377522,0.037343562,0.059362242,0.168205128,0.027382646,0.002276194,0.001978562,0.003892235,0.074612208,0.008235437,0.015748925,0.003283112,0.18128655,0.384320298,4
?002715,0.033760683,0.023045874,0.01890916,0.122266611,0.00677589,0.003349652,0.004106474,0.006003431,0.158712334,0.212478365,0.162043796,0.449490474,0.044892616,0.061070813,0.402804985,0.19092219,0.037343562,0.059362242,0.221538462,0.027382646,0.00077238,0.001427699,0.003121312,0.008302798,0.00193775,0.012460522,0.004317517,0.055555556,0.115286948,8
?002716,0.735819735,0.041064868,0,0,0.023260518,0.012159237,0.006196507,0.018439108,0.237132697,0.085551801,0.242203052,0.377270713,0.112813303,0.509348876,0.217357976,0.122478386,0.114948861,0.568412125,0.405128205,0.076576577,0.003720694,0.009676223,0.017703061,0.105417455,0.008719874,0.03061186,0.024690803,0.102339181,0.132723887,1
?002718,0.941880342,0.019885297,0.004656024,0.085576114,0.005393743,0.000798763,0.000187661,0.002144082,0.492981471,0.407154043,0.503384207,0.40651307,0.108837931,0.409755164,0.566192545,0.270172911,0.092471908,0.374065493,0.347692308,0.109174964,0.000380386,0.000309367,0.002185926,0.006794469,0.003391062,0.001032871,0.005981561,0.175438596,0.238022685,2
?002719,0.269778654,0.012181391,0.006186917,0.085576114,0.009944714,0.003323886,0.00283332,0.006861063,0.443571028,0.287645265,0.453085601,0.740141781,0.199883648,0.43785497,0.465888766,0.252161383,0.098813791,0.497419018,0.202051282,0.118895211,0.001232389,0.000823254,0.003335115,0.009233409,0.001695531,0.008853973,0.005486845,0.038011696,0.099373625,1
?002721,0.258368945,0.018076608,0.013313485,0,0.007787217,0.008196341,0.007009707,0.006003431,0.166011604,0.115717465,0.169608494,0.431989366,0.109516653,0.218799855,0.15552338,0.21037464,0.049376501,0.443354351,0.262564103,0.027382646,0.000825826,0.004939683,0.009854039,0.101788966,0.01320092,0.024743502,0.013087475,0.201754386,0.330116811,2
?002723,0.279558405,0.013551797,0.005585118,0,0.009169364,0.003439835,0.004286776,0.006003431,0.218978102,0.120415396,0.223755806,0.356003545,0.092548601,0.410244411,0.464667973,0.206772334,0.092583085,0.176601083,0.32,0.075746799,0.0010886,0.001269459,0.004367124,0.016726396,0.002301078,0.005288679,0.00836519,0.068128655,0.112070425,1
?002724,0.60042735,0.000245891,0.020756789,0.093776283,0.013450647,0.010306622,0.014335862,0.016295026,0.134755755,0.114398747,0.137624419,0.366415596,0.097202695,0.090744719,0.277659484,0.123198847,0.020685616,0.00264813,0.128205128,0.001422475,0.002842205,0.003019968,0.018141768,0.023414046,0.004117718,0.00403306,0.023566449,0.00877193,0.060944642,9
?002725,0.38974359,0.015959268,0.03921196,0.085576114,0.01355178,0.003864983,0.003296954,0.007718696,0.256035935,0.120250556,0.261446583,0.227957466,0.043632133,0.339962987,0.356556795,0.150576369,0.076722944,0.312584157,0.421538462,0.191441441,0.001903909,0.001444306,0.006379746,0.022911829,0.006176577,0.02670672,0.007690578,0.187134503,0.220755036,1
?002726,0.660968661,0.021866831,0.036593606,0.18902439,0.016788026,0.011489307,0.015855552,0.017581475,0.151787385,0.081265969,0.155009954,0.295746566,0.074901828,0.141115909,0.483235386,0.311239193,0.031822917,0.003000754,0.397948718,0.03200569,0.00251134,0.003354151,0.016745061,0.176584053,0.013806467,0.069233466,0.013267371,0.187134503,0.231928221,7
