?002705,0.520833333,231.8888889,2514,1340,7.42,7600,5320,22,2.2,10.5,19.51,15.25,30.08,21.66,1.0491,146.36,481,1.049136878,11.204,3.29,6.88,74212,44.08,12.61,9.27,1.65,1705.67,4.68,0.74,16.81,1
?002706,0.925925926,205.1111111,995,0,3.76,2154,1292,4,0.4,19.1,24.8,27.79,24.64,26.79,1.4258,208.85,435,1.425758303,16.0650358,5.2,10.43,37612,5.186,3.362,3.0047,0.4,6631.62,1.83,0.62,37.23,1
?002707,0.666666667,7434.111111,1677,0,1.49,1458,1020,4,0.4,23.15,19.71,33.62,22.05,38.32,1.0828,256.39,614,1.082829419,5.525368042,4.6,5.84,14921.53,7.402,2.345,12.1727,0.31,2035.93,1.44,0.61,14.19,10
?002708,0.2125,241.2222222,0,0,3.51,3320,2648,13,1.3,11.88,12.97,17.26,28.29,33.88,1.8326,156.7,319,1.832607119,7.049515503,4.76,7.14,35088.4,7.622,4.753,2.9143,0.27,22267.06,1.4,0.27,5.87,1
?002709,1,502.8181818,0,0,2.95,3011,2404,12,1.2,13.66,62.7,19.83,28.08,29.53,1.2837,268.28,524,1.283706849,1.674399337,5.07,19.69,26523.66,6.933,5.159,2.6799,0.35,17276.8,2.09,0.34,6.88,2
?002711,0.833333333,2102.727273,0,0,5.4,3753,1501,15,1.5,18.29,25.65,26.34,25.23,25.24,2.0434,194.77,421,6.86,32.42350061,4.76,2.32,53956,9.84,5.62,3.03,0.57,1705.67,3.99,0.48,10.1946,2
?002712,0.943661972,701.1818182,738,814,2.76,2133,1703,8.5,0.85,25.18,114.2,36.58,24.06,29.95,1.1473,255.07,539,1.14727171,9.282673866,6.35,8.45,27559,5.92,4.63,7.15,0.37,5656.76,3.1,0.51,8.0117,4
?002713,0.02247191,210.2222222,2147,847,4.61,3121,2448,12,1.2,21,27.53,30.24,38.32,26.24,0.6491,201.81,412,0.947,2.75,3.25,2.32,46073,7.98,3.08,13.35,0.7,8150.24,0.97,0.69,22.7018,4
?002714,0.958333333,144.25,3714,0,6.67,6050,2420,24,2.4,24.07,56,34.66,18.8,76.69,2.5813,110.4,517,2.581344347,45.375,4.85,2.37,66716.04,30.44,10.286,7.4891,0.76,10051.63,6.31,0.36,7.35,1
?002715,0.05,331.6666667,1791,1163,2.01,2300,1720,8,0.8,10.16,30.38,14.63,26.52,16.82,0.4562,161.84,292,0.947,2.75,3.77,2.32,22238,6.222,2.705,1.4934,0.18,6448.5,1.2,0.26,6.81,8
?002716,0.74025974,574.9166667,0,0,6.9,5719,2288,22.5,2.25,14.35,14.98,20.67,23.26,30.83,2.5636,96.52,197,2.563588228,25.81759543,5.56,6.47,68967.9,32.546,9.798,18.8582,0.74,15841.77,5.73,0.42,7.84,1
?002717,0.426966292,210.2222222,1779,953,2.1,2143,1286,4,0.4,22.32,31.55,32.14,23.34,9.2,0.5774,228.35,1415,0.577432572,13.78135048,5.01,1.63,21000,10.757,3.759,4.1354,0.46,5291.63,2.28,0.62,13.14,5
?002718,0.942857143,289,441,814,1.6,1310,655,3.5,0.35,28.02,54,40.35,24.58,30.01,2.0954,219.39,402,2.095373064,17.01077782,5,9.22,16025,2.653,2.25,1.2237,0.3,534.72,1.57,0.67,14.06,2
?002719,0.282051282,185,586,814,2.95,2290,1374,9,0.9,25.38,39.5,36.56,39.64,48.79,2.2275,184.06,377,2.2274802,22.60054281,3.58,10.04,29529,4.293,2.809,1.6598,0.16,4582.12,1.46,0.2,5.87,1
?002721,0.270833333,264.5833333,1261,0,2.31,4181,2509,8,0.8,10.55,18.64,15.2,25.73,30.15,1.1977,74.74,319,1.197656961,20.15060241,4.17,2.32,23085.1,17.43,5.98,18.2094,1.11,12804.91,3.15,0.76,19.5,2
?002722,0.916666667,54.88888889,0,0,1.82,3360,2644,13,1.3,7.18,26.95,10.35,19.41,22.33,2.0329,194.25,325,2.032847713,7.152847153,3.19,5.67,18211.6,6.311,3.301,2.1046,0.27,5445.06,1.51,0.26,8.41,2
?002723,0.291666667,203.5,529,0,2.72,2335,1769,8,0.8,13.38,19.21,19.28,22.3,26.65,2.0977,183.63,314,2.097688985,8.062678063,4.73,6.4,27249.98,5.717,3.311,2.9996,0.21,2737.09,2.1,0.303,6.62,1
