,股票代码,网址,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
42,?603738,http://topic.eastmoney.com/hbtjdzkjipo/,error,error,5.51,error,23552,5.3396,3.276,1.6368,0.28,4836.74,1.6,0.5,9.22
43,?300545,http://topic.eastmoney.com/ldzb/,error,error,4.4,error,35774.09,3.2712,2.3556,1.1437,0.16,3263.14,1.33,0.3,6.96
44,?600908,http://topic.eastmoney.com/wxncsyyh/,error,error,4.47,error,78931.78,1164.5622,75.4303,5.9362,2.12,37039.54,3.67,error,2.94
45,?300536,http://topic.eastmoney.com/nshj/,error,error,3.83,error,17701.8,5.349,2.9154,1.8077,0.24,6173.13,1.44,error,8.66
46,?601500,http://topic.eastmoney.com/tykj/,error,error,2.89,error,80876.93,32.6995,16.4016,15.2107,0.83,10751.33,8.41,error,5.16
47,?300542,http://topic.eastmoney.com/XCKJIPO/,error,error,5.59,error,22737,5.0091,3.7797,1.827,0.07,6433.12,2.12,error,1.82
48,?603189,http://topic.eastmoney.com/wdrjgf/,error,error,error,error,74667.39,4.087,3.535,0.8646,0.15,4887.31,1.2,0.09,4.38
49,?300541,http://topic.eastmoney.com/xjstxx/,error,error,4.12,error,47810.96,7.9982,3.7042,3.8122,0.25,8016.73,1.8,error,7.06
50,?603067,http://topic.eastmoney.com/HBZHHXIPO/,error,error,4.32,error,36546,9.8251,7.1198,4.1082,0.46,16483.49,3.39,error,6.7
51,?300534,http://topic.eastmoney.com/lslfyy/,error,error,6.24,error,31188.02,6.3557,4.302,1.2338,0.25,19291,1.52,error,5.89
52,?603393,http://topic.eastmoney.com/XJXTTRQIPO/,error,error,5.35,error,152713,9.1483,6.4194,3.9906,0.8,18829.92,2.31,error,12.49
53,?002812,http://topic.eastmoney.com/yncx/,error,error,7.32,error,74776.7,13.062,7.3487,5.1097,0.75,23727.27,3.18,0.75,10.21
54,?601163,http://topic.eastmoney.com/SJLTIPO/,error,error,4.82,error,error,91.9517,28.9386,15.8439,1.61,3926.58,15.58,0.27,5.72
55,?002811,http://topic.eastmoney.com/ytgjjs/,error,error,4.68,error,67074.87,17.2974,6.3229,8.9555,0.43,10009.84,3.59,0.32,7.05
56,?300543,http://topic.eastmoney.com/lkzndq/,error,error,5.6,error,28682.82,5.5466,2.8731,4.0215,0.35,6242.34,1.65,0.79,13.12
57,?603843,http://topic.eastmoney.com/zplqipo/,error,error,2.32,error,65190.72,26.0267,6.9782,24.0779,0.88,1976.23,3.06,0.29,13.36
58,?002807,http://topic.eastmoney.com/jyncsy/,error,error,4.64,error,92390.22,904.7841,75.1417,25.043,8.15,error,21,0.52,12.13
59,?603658,http://topic.eastmoney.com/atsw/,error,error,2.29,error,78430.15,11.1999,8.6625,4.3374,1.48,38.82,4.22,error,18.64
60,?300539,http://topic.eastmoney.com/nbhhmj/,error,error,3.09,error,33062,4.4984,2.2345,1.8461,0.14,3941.86,1.02,0.2,6.7
61,?300537,http://topic.eastmoney.com/gxggxcl/,error,error,3.35,error,27001.52,3.5317,2.6399,1.3113,0.21,4862.17,1.22,error,8.3
62,?603090,http://topic.eastmoney.com/wxhs/,error,error,3.19,error,27013,3.083,2.5085,1.0735,0.19,6464.36,0.96,0.25,8.52
63,?002810,http://topic.eastmoney.com/SDHDGFIPO/,error,error,5.84,error,33435.32,7.9318,4.1838,2.7694,0.24,709.41,2.88,0.34,6.03
64,?603007,http://topic.eastmoney.com/hwyy/,error,error,4.04,error,37981.27,9.8145,4.0402,5.3879,0.68,5706.85,2.18,0.68,18.41
65,?300538,http://topic.eastmoney.com/TYSYIPO/,error,error,4.61,error,35995,3.1941,1.9346,3.9244,0.16,3127.1,1.12,error,8.6
66,?002809,http://topic.eastmoney.com/hqcl/,error,error,7.07,error,40949,5.5342,4.5818,1.9269,0.34,5881.8,3.14,0.57,7.74
67,?603031,http://topic.eastmoney.com/adlbh/,error,error,5.56,error,29040.2,12.3786,3.5557,7.6806,0.22,5957.57,2.32,0.36,6.32
68,?300540,http://topic.eastmoney.com/cdslyhsb/,error,error,4.92,error,44670,7.116,3.3454,1.6645,0.31,5408.49,1.85,0.47,9.19
69,?603515,http://topic.eastmoney.com/OPZMIPO/,error,error,3.48,error,123986.3,33.146,18.3481,44.6886,4.44,29477.95,8.48,error,26.36
70,?300533,http://topic.eastmoney.com/SZBCWLIPO/,error,error,6.31,error,86050.66,7.8472,5.2412,0.9811,0.46,4427.12,3.61,error,9.02
71,?603986,http://topic.eastmoney.com/yzcxkj2014/,error,error,7.62,error,51652.93,8.998,5.7063,11.8878,1.56,17056.61,2.94,2.1,31.92
72,?601595,http://topic.eastmoney.com/shdy/,error,error,2.79,error,99610,16.4397,8.2699,9.0018,2,638.16,4.33,error,28.86
73,?300532,http://topic.eastmoney.com/jtgj2011/,error,error,5.91,error,36357.48,7.7262,3.7256,0.593,0.05,6943.69,2.1,0.09,1.48
74,?601997,http://topic.eastmoney.com/GYYHIPO/,error,error,7.76,error,410797.26,2381.9655,141.3388,77.0519,32.4,124622,78.44,1.79,26.37
75,?600936,http://topic.eastmoney.com/gxgbdsxxwl/,error,error,1.46,error,196034.86,54.78,21.1994,5.6022,1.12,2530.36,5.52,error,error
76,?002808,http://topic.eastmoney.com/hjgdcybipo/,error,error,error,error,25000,3.3871,2.9414,0.4548,0.05,4095.77,1.36,error,error
77,?603159,http://topic.eastmoney.com/yhmj/,error,error,2.8,error,15937.6,3.3531,2.1004,4.4793,0.38,1791.61,1.05,0.51,20.02
78,?300535,http://topic.eastmoney.com/dwkj2014/,error,error,7.01,error,27000,4.0006,3.2532,0.5763,0.11,7684.75,1.8,error,error
79,?603569,http://topic.eastmoney.com/cjwl/,error,error,2.49,error,83627.75,21.1334,9.9448,9.2128,0.75,346.51,4.1,error,8.01
