,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
http://topic.eastmoney.com/wxhs/,,&nbsp;,3.19,-,27013,3.083,2.5085,1.0735,0.19,6464.36,0.96,0.25,8.52
http://topic.eastmoney.com/SDHDGFIPO/,,&nbsp;,5.84,-,33435.32,7.9318,4.1838,2.7694,0.24,709.41,2.88,0.34,6.03
http://topic.eastmoney.com/hwyy/,,&nbsp;,4.04,-,37981.27,9.8145,4.0402,5.3879,0.68,5706.85,2.18,0.68,18.41
http://topic.eastmoney.com/TYSYIPO/,,&nbsp;,4.61,-,35995,3.1941,1.9346,3.9244,0.16,3127.1,1.12,-,8.6
http://topic.eastmoney.com/hqcl/,,&nbsp;,7.07,-,40949,5.5342,4.5818,1.9269,0.34,5881.8,3.14,0.57,7.74
http://topic.eastmoney.com/adlbh/,,&nbsp;,5.56,-,29040.2,12.3786,3.5557,7.6806,0.22,5957.57,2.32,0.36,6.32
http://topic.eastmoney.com/cdslyhsb/,,&nbsp;,4.92,-,44670,7.116,3.3454,1.6645,0.31,5408.49,1.85,0.47,9.19
http://topic.eastmoney.com/OPZMIPO/,,&nbsp;,3.48,-,123986.3,33.146,18.3481,44.6886,4.44,29477.95,8.48,-,26.36
http://topic.eastmoney.com/SZBCWLIPO/,,&nbsp;,6.31,-,86050.66,7.8472,5.2412,0.9811,0.46,4427.12,3.61,-,9.02
http://topic.eastmoney.com/yzcxkj2014/,,&nbsp;,7.62,-,51652.93,8.998,5.7063,11.8878,1.56,17056.61,2.94,2.1,31.92
http://topic.eastmoney.com/shdy/,,&nbsp;,2.79,-,99610,16.4397,8.2699,9.0018,2,638.16,4.33,-,28.86
http://topic.eastmoney.com/jtgj2011/,,&nbsp;,5.91,-,36357.48,7.7262,3.7256,0.593,0.05,6943.69,2.1,0.09,1.48
http://topic.eastmoney.com/GYYHIPO/,,&nbsp;,7.76,-,410797.26,2381.9655,141.3388,77.0519,32.4,124622,78.44,1.79,26.37
http://topic.eastmoney.com/gxgbdsxxwl/,,&nbsp;,1.46,-,196034.86,54.78,21.1994,5.6022,1.12,2530.36,5.52,-,-
http://topic.eastmoney.com/yhmj/,,&nbsp;,2.8,-,15937.6,3.3531,2.1004,4.4793,0.38,1791.61,1.05,0.51,20.02
http://topic.eastmoney.com/dwkj2014/,,&nbsp;,7.01,-,27000,4.0006,3.2532,0.5763,0.11,7684.75,1.8,-,-
http://topic.eastmoney.com/cjwl/,,&nbsp;,2.49,-,83627.75,21.1334,9.9448,9.2128,0.75,346.51,4.1,-,8.01
http://topic.eastmoney.com/dzhbkj/,,&nbsp;,4.83,-,18015.42,2.7352,2.5372,1.2165,0.38,4039.12,1.44,0.72,16.18
http://topic.eastmoney.com/zgdy2014/,,&nbsp;,3.42,-,466052,108.9148,54.4368,72.9653,10.36,59875.03,24.92,0.62,20.1
http://topic.eastmoney.com/xhwx/,,&nbsp;,6.11,-,141800,105.6789,68.9943,13.4198,1.64,207300.24,18.56,0.15,2.44
http://topic.eastmoney.com/ybxkj/,,&nbsp;,4.43,-,22447.12,3.4654,2.8079,0.7417,0.15,2062.04,1.91,-,6.89
http://topic.eastmoney.com/xflh/,,&nbsp;,5.52,-,109825.3,18.0896,13.2112,3.6329,0.18,55351.75,4.84,-,-
http://topic.eastmoney.com/hzzg/,,&nbsp;,2.64,-,78327,22.4682,9.1962,2.4722,0.02,29019.12,2.42,-,-
http://topic.eastmoney.com/ZHJFSWKJ/,,&nbsp;,1.52,-,43792.9,7.2347,6.1096,1.256,0.47,12.59,1.74,-,-
http://topic.eastmoney.com/zqgf/,,&nbsp;,4.21,-,25164.36,6.0074,2.7686,0.8735,0.09,421.59,1.86,-,-
http://topic.eastmoney.com/JSYHIPO/,,&nbsp;,6.27,-,712915.49,12903.3334,655.3456,280.4707,95.05,1009737.3,192.51,-,15.72
http://topic.eastmoney.com/sxxc/,,&nbsp;,2.37,-,26750,3.0248,2.468,0.6427,0.08,4259.2,0.87,-,-
http://topic.eastmoney.com/CXJS2014/,,&nbsp;,3.99,-,27215.44,6.4296,2.4007,1.3461,0,6455.45,1.07,-,-
http://topic.eastmoney.com/fjbsrj/,,&nbsp;,4.51,-,17033.9,2.5467,2.3168,0.2335,0.02,4107.86,1.25,-,-
http://topic.eastmoney.com/hfdz/,,&nbsp;,3.77,-,16269.43,4.4654,2.2949,0.6862,0.03,321.59,1.49,-,-
http://topic.eastmoney.com/cakj/,,&nbsp;,5.25,-,39877.51,7.7814,3.4023,4.1302,0.92,8665.92,1.58,1.3,27.59
http://topic.eastmoney.com/hbzxgckj/,,&nbsp;,4.19,-,-,7.3711,3.2211,3.7574,0.45,6261.71,1.61,-,-
http://topic.eastmoney.com/jhbzkj2014/,,&nbsp;,2.94,-,25144,6.2025,2.7267,-,-,3596.53,1.28,-,-
http://topic.eastmoney.com/hqys/,,&nbsp;,2.95,-,46151,14.5602,7.0628,12.3796,0.7,16684.65,2.35,0.29,10.41
http://topic.eastmoney.com/kdgcrjipo/,,&nbsp;,3.85,-,25413,4.3594,2.6371,-,-,6357.07,1.21,-,-
http://topic.eastmoney.com/sdfyhxipo/,,&nbsp;,5.67,-,27407.11,4.6923,4.1197,-,-,7239.6,2.34,-,-
http://topic.eastmoney.com/ask/,,&nbsp;,3.83,-,20850,2.9108,2.3583,0.3485,0.06,3513.46,1.32,-,2.52
http://topic.eastmoney.com/smkj/,,&nbsp;,4.56,-,32112.13,3.191,2.2815,2.2487,0.55,1882.31,1.38,-,27.32
http://topic.eastmoney.com/lllt/,,&nbsp;,4.36,-,258508,165.8184,43.6812,87.337,6.77,37135.11,26.38,0.68,15.25
http://topic.eastmoney.com/XHTDQKJ2014/,,&nbsp;,4.12,-,29015.2,5.7508,4.8788,-,-,2165,3.01,-,-
http://topic.eastmoney.com/hhxc/,,&nbsp;,3.47,-,36338.96,3.5362,2.935,0.6529,0.12,3163.89,1.62,-,4.25
http://topic.eastmoney.com/hssm/,,&nbsp;,3.93,-,67172.8,12.2481,6.9196,4.6546,0.33,6719.9,3.94,-,-
http://topic.eastmoney.com/hcgc/,,&nbsp;,3.98,-,22278.45,3.9843,3.1281,-,-,1715.11,2.05,-,-
http://topic.eastmoney.com/SXDKJIPO/,,&nbsp;,6.94,-,-,5.1945,4.8554,2.0374,0.92,5055.61,3.3,-,-
http://topic.eastmoney.com/wgdz/,,&nbsp;,9.29,-,24646,5.178,4.2947,-,-,4142.86,3.08,-,-
http://topic.eastmoney.com/xgyy/,,&nbsp;,5.16,-,21178,3.9961,3.4764,-,-,4782.85,2.03,-,-
http://topic.eastmoney.com/cqxkgy/,,&nbsp;,3.46,-,135180,124.3873,31.9682,105.5448,3.89,48388.03,12.9,0.5,15.67
http://topic.eastmoney.com/hnsdkj/,,&nbsp;,3.04,-,27031.47,3.4507,2.339,-,-,5033.09,0.94,-,-
http://topic.eastmoney.com/hqyw2012/,,&nbsp;,4.25,-,25668.52,5.8665,3.1888,4,0.35,291.64,2.15,-,11.6
http://topic.eastmoney.com/hghjjt2014/,,&nbsp;,4.47,-,26565.84,4.5605,3.356,4.5961,0.48,8073.09,1.55,-,15.42
http://topic.eastmoney.com/ZHGYJS2014/,,&nbsp;,2.87,-,540336.8,571.6021,67.5056,409.7002,9.13,-12136.26,26.74,-,-
http://topic.eastmoney.com/jzyhwxt/,,&nbsp;,4.39,-,72098.64,6.4109,4.1643,-,-,2812.54,2.64,-,-
http://topic.eastmoney.com/skstl/,,&nbsp;,7.31,-,34349.82,9.8233,5.3431,2.1291,-0.14,1126.6,4.11,-,-2.55
http://topic.eastmoney.com/xjts/,,&nbsp;,4.83,-,21917,4.523,2.7442,-,-,6521.46,1.43,-,-
http://topic.eastmoney.com/htsdkj/,,&nbsp;,5.37,-,27410.4,4.274,3.0495,-,-,9256.83,1.39,-,-
http://topic.eastmoney.com/zyjx2014/,,&nbsp;,5.02,-,66486,10.6108,5.3999,-,-,6998.48,3.18,-,-
http://topic.eastmoney.com/dwjy2014/,,&nbsp;,5.98,-,21125.82,4.4892,3.8541,-,-,7755.89,2.14,-,-
http://topic.eastmoney.com/sfllzb2014/,,&nbsp;,4.62,-,46504,8.6107,7.1583,7.3737,1.26,6930.27,4.66,0.81,19.11
http://topic.eastmoney.com/blgckj/,,&nbsp;,2.74,-,86993.9,10.6951,4.2387,2.72,0.38,1817.74,2.12,-,9.32
http://topic.eastmoney.com/wlptj/,,&nbsp;,3.53,-,70470.13,14.6078,5.2978,-,-,-,3.41,-,-
http://topic.eastmoney.com/dycyzq2014/,,&nbsp;,3.12,-,&nbsp;,332.7352,65.75,25.485,9.53,187296.95,12.33,0.52,18.15
http://topic.eastmoney.com/sjkj/,,&nbsp;,4.31,-,22526.76,3.4575,2.5867,4.624,0.54,5934.83,1.19,0.9,22.11
http://topic.eastmoney.com/JGDQIPO/,,&nbsp;,4.8,-,23874,4.7212,3.219,2.6196,0.51,5817.29,1.69,-,17.34
http://topic.eastmoney.com/hjsdbhipo/,,&nbsp;,3.52,-,68240.25,20.6865,6.3446,27.4151,1.04,1788.1,4.02,0.58,17.32
http://topic.eastmoney.com/SHXRSWIPO/,,&nbsp;,5.72,-,113639.36,17.7476,6.4299,10.19,1.25,9749.66,3.98,-,21.41
http://topic.eastmoney.com/dlkjipo/,,&nbsp;,4.1,-,41979.1,13.9479,6.3731,7.3304,3.05,397.01,3.96,-,60.21
http://topic.eastmoney.com/alw2012/,,&nbsp;,6.72,-,37440.8,4.3699,3.4912,4.6967,0.82,1985.2,2.38,-,26.07
http://topic.eastmoney.com/yhltzkipo/,,&nbsp;,2.83,-,32821.27,4.207,2.1197,4.7791,0.66,3948.48,0.72,-,29.47
http://topic.eastmoney.com/temyjx/,,&nbsp;,7.23,-,50180.62,8.6749,5.0736,3.7859,0.4,7213.11,3.18,-,8.26
http://topic.eastmoney.com/xmxbz/,,&nbsp;,5.2,-,25970,8.7477,3.1228,4.4828,0.5,9549.07,1.41,0.83,17.22
http://topic.eastmoney.com/zjldjt/,&nbsp;0.0422,0.0095,6.25,-,29800,8.5201,4.4402,7.2368,0.61,224.91,3.51,0.86,14.85
http://topic.eastmoney.com/whdzkj/,&nbsp;0.0319,0.0248,4.31,-,20971.72,2.1244,1.9374,1.3058,0.52,223.74,1.27,-,30.29
http://topic.eastmoney.com/dyby/,&nbsp;0.0369,0.0092,4.53,-,-,5.496,3.395,5.8421,0.82,7686.93,1.63,1.09,26.13
http://topic.eastmoney.com/SHFKDQIPO/,&nbsp;0.0633,0.0108,2.82,-,-,16.9023,11.0439,27.8263,5.02,322.23,5.8,-,55.23
http://topic.eastmoney.com/dhqcdz/,&nbsp;0.0271,&nbsp;,4.54,-,-,4.5937,2.6743,3.1394,0.44,5633.59,1.32,-,17.07
http://topic.eastmoney.com/kpdkj/,0.0432,0.0103,4.5,0.05,32403.3,5.1928,3.3785,7.1087,0.83,6390.01,1.68,1.11,28.17
http://topic.eastmoney.com/jjwdz/,&nbsp;0.0484,0.0118,3.94,0.04,-,5.4783,3.9394,2.3968,0.89,350.78,2.45,-,25.45
http://topic.eastmoney.com/jssftgsipo/,0.0612,0.01,2.72,0.06,27326.19,7.6484,4.5065,5.4823,0.46,5446.02,2.14,0.28,10.72
http://topic.eastmoney.com/jlwjzp/,0.0447,0.0341,7.68,0.08,88353.6,20.0513,13.2013,16.7161,1.42,24364.94,8.16,0.84,11.51
http://topic.eastmoney.com/MJHKJIPO/,0.0484,&nbsp;,2.85,-,24569.63,5.5732,2.567,1.7087,0.32,810.42,1.44,0.35,13.12
http://topic.eastmoney.com/lhht/,&nbsp;0.0237,&nbsp;,5.74,-,21772.24,3.7397,2.5609,3.0982,0.71,3751.96,1.6,-,31.97
http://topic.eastmoney.com/bydq2012/,0.074,0.0115,3.78,-,117153,22.3791,13.6093,12.6388,1.72,1405.98,8.48,-,13.42
http://topic.eastmoney.com/cjnhg/,0.0458,&nbsp;,5.13,-,41906.53,5.344,3.5947,5.4596,0.42,9761.64,1.68,-,12.47
http://topic.eastmoney.com/XZHYKYIPO/,0.0713,0.0119,2.29,-,81994.14,21.9245,11.5237,5.9835,1.59,983,4.57,-,16.06
http://topic.eastmoney.com/jyzs2014/,,0.0115,9.22,-,50532.13,17.6975,5.8589,18.5347,0.78,21317.69,2.69,-,14.53
http://topic.eastmoney.com/jwj/,0.0742&nbsp;,0.0151,3.66,-,84273.68,18.5329,7.6817,11.8241,1.66,9757.61,4.2,0.79,24.09
http://topic.eastmoney.com/hzjd/,0.0471,0.0107,6.06,-,30791.81,5.4224,4.5441,2.2126,0.43,12274.13,2.27,-,10.04
http://topic.eastmoney.com/zjstlzy/,0.0487,0.0242,4.68,-,60817.86,13.9901,4.3724,4.9217,0.53,15656.67,1.52,-,11.52
http://topic.eastmoney.com/retwy/,0.0468,0.0126,4.74,-,63955.6,8.2475,5.6858,6.0099,1.09,9106.8,3.22,-,20.6
http://topic.eastmoney.com/qhwysp/,0.0533,0.012,&nbsp;,-,33883.41,7.2412,4.675,6.2359,0.67,9656.03,2.28,-,15.32
http://topic.eastmoney.com/tcssxy/,0.0769,0.0163,3.82,-,63317.18,13.5682,8.214,8.1065,0.59,27930.18,2.81,-,7.11
http://topic.eastmoney.com/lyyy/,0.045,0.015,7.29,-,63630,34.711,7.0812,48.9658,0.78,14083.65,4.34,0.8,11.47
http://topic.eastmoney.com/nfcbcm/,0.133,0.0142,4.01,-,98974,67.8067,28.3596,20.001,2.03,26342.4,11.45,0.27,8.73
http://topic.eastmoney.com/dfss/,0.07%,0.0166,1.7,-,188273.18,17.4578,8.1069,-,-,4911.96,2.13,-,-
http://topic.eastmoney.com/hsxxyybz/,&nbsp;0.0222,&nbsp;,6.37,0.05,26476.99,3.2446,2.563,2.1499,0.44,6767.16,1.35,-,18.45
http://topic.eastmoney.com/szsjyjy/,0.023,&nbsp;,6.88,-,32049.45,3.8743,3.3385,1.6162,0.28,12326.45,1.38,-,8.45
http://topic.eastmoney.com/gzgl/,,&nbsp;,5.74,0.08,25517.8,6.7054,2.9135,-,-,5775.69,1.68,-,-
http://topic.eastmoney.com/gksh2011/,0.1924,0.0406,&nbsp;,-,-,5.9306,3.7318,&nbsp;,&nbsp;,7061.05,2.13,&nbsp;,&nbsp;
http://topic.eastmoney.com/BJQJYLIPO/,0.1714&nbsp;,0.0508,7.41,0.07,-,9.1089,4.4467,6.0328,0.81,12976.81,2.32,1.35,20.12
http://topic.eastmoney.com/JSJSYHIPO/,0.2472,0.0372,3.52,0.06,-,41.7699,16.6217,&nbsp;,&nbsp;,68416.58,4.55,&nbsp;,&nbsp;
http://topic.eastmoney.com/stwl/,0.1854,0.0347,3.52,0.02,-,3.1035,2.879,0.3441,0.08,1097.78,1.53,&nbsp;,2.85
http://topic.eastmoney.com/thdzkj2014/,&nbsp;0.1751,0.0435,3.01,-,-,2.367,1.772,&nbsp;,&nbsp;,3903.87,0.69,&nbsp;,&nbsp;
http://topic.eastmoney.com/hzkj/,&nbsp;0.1691,0.0449,4.43,0.05,-,7.0103,3.1784,0.844,0.09,12521.52,1.04,&nbsp;,2.78
http://topic.eastmoney.com/szhybzipo/,&nbsp;0.2083,0.0472,4.86,0.05,-,8.5915,4.8897,&nbsp;,&nbsp;,12242.52,2.45,&nbsp;,&nbsp;
http://topic.eastmoney.com/yhrj/,0.1378,0.0355,3.89,0.05,-,6.8959,2.8305,3.6571,0.59,3300.24,1.15,0.93,22.69
http://topic.eastmoney.com/SYTLMBIPO/,337,0.0718,2.56,0.09,89302.95,15.1965,12.0654,18.4377,2.49,749.21,7.18,&nbsp;,22.68
http://topic.eastmoney.com/hnsw/,0.3997,0.0432,7.18,0.04,127427.4,10.5254,8.6171,3.1542,1.18,10747.09,5.88,0.98,14.48
http://topic.eastmoney.com/msstjg/,0.2913,0.0631,8.39,0.05,74890.53,11.0807,4.8457,3.0052,0.65,6065.8,3.43,1.29,&nbsp;
http://topic.eastmoney.com/sdjzgcsj/,183,0.0448,2.75,0.02,16889.23,2.6882,1.7556,&nbsp;,&nbsp;,964.56,0.89,&nbsp;,&nbsp;
http://topic.eastmoney.com/SZYBSIPO/,0.2366,0.0487,6.49,0.05,50112.29,23.0073,6.4631,15.9518,0.46,16012.31,3.34,&nbsp;,7.33
http://topic.eastmoney.com/XMWLSIPO/,64,0.04,3.47,0.04,25598.96,10.0515,5.5853,4.6734,0.13,13582,2.4,&nbsp;,&nbsp;
http://topic.eastmoney.com/klk2012/,0.2229,0.0504,3.56,-,33147.41,6.3067,4.549,3.6031,0.25,6896.29,2.34,&nbsp;,5.58
http://topic.eastmoney.com/qxjsjt/,0.2683,0.1716,5.22,-,53113.25,26.9807,9.3942,&nbsp;,&nbsp;,22056.96,4.96,&nbsp;,&nbsp;
http://topic.eastmoney.com/jxfxyyipo/,0.1627,0.0511,5.6,-,24091,7.1758,3.2616,&nbsp;,&nbsp;,9536.84,1.62,&nbsp;,&nbsp;
http://topic.eastmoney.com/zkcd/,0.2368,0.0383,4.94,0.04,75220,5.6447,4.0486,&nbsp;,&nbsp;,7145.92,2.38,&nbsp;,&nbsp;
http://topic.eastmoney.com/dzcbcm/,0.2545,0.0464,5.44,0.06,50407.61,13.671,10.8369,3.7184,0.38,17253.9,6.02,0.23,4.2
http://topic.eastmoney.com/bmdz/,0.234,0.0432,4.46,0.05,62024.42,14.6836,5.6002,5.1487,0.32,8477.09,3.25,&nbsp;,5.92
http://topic.eastmoney.com/dszcsb/,0.3156,0.0569,3.17,0.05,51616,8.7173,4.7056,3.561,0.16,3825.01,2.57,0.12,3.99
http://topic.eastmoney.com/ajsp/,0.2761,0.0498,4.17,0.08,-,4.088,3.8878,&nbsp;,&nbsp;,8619.69,1.93,&nbsp;,&nbsp;
http://topic.eastmoney.com/BBYZ2014/,0.2318,0.0398,2.68,0.05,-,2.6995,1.9974,1.4201,0.28,3987.52,0.7,&nbsp;,35.39
http://topic.eastmoney.com/shrxkj/,&nbsp;0.1470,0.0361,3.05,0.03,-,5.3769,2.7213,&nbsp;,&nbsp;,7234.38,1.01,&nbsp;,&nbsp;
http://topic.eastmoney.com/sfhw/,0.1484,0.0326,4.14,0.06,-,2.5259,2.0696,1.352,0.09,3800.12,1.08,&nbsp;,4.58
http://topic.eastmoney.com/zjkj/,0.1621,0.0407,5.28,0.07,-,4.8416,3.6393,3.4549,0.41,4375,2.3,&nbsp;,11.97
http://topic.eastmoney.com/klhg2011/,0.218,0.0491,11.07,0.16,error,11.9533,7.6751,8.8428,1.19,2728.86,4.61,1.71,16.46
